periodsEnd,runs,printPeriodData,printEveryNPeriods,dataTakingForm
10000,100,0,1,0
Marker,N,bmean,bstdev,econInt,burStr,burFear,Mean_Percent_Acting,StDev_Percent_Acting,Mean_Eq_Percent_Acting,StDev_Eq_Percent_Acting,Mean_Time_to_Equilibrium,StDev_Time_to_Equilibrium,Mean_%_Population_Who_Are_Rabble-Rousers,StDev_%_Population_Who_Are_Rabble-Rousers
83,1000.0,0.6,0.2,0.0,0.4,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,57.08000000000002,0.8125281657899752,0.022559999999999997,0.005059883817087528
84,1000.0,0.6,0.2,0.0,0.4,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,56.37000000000005,0.6614187383758849,0.023170000000000003,0.00511100021838419
85,1000.0,0.6,0.2,0.0,0.4,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,56.01000000000004,0.559491110769691,0.022940000000000002,0.004779628488161865
86,1000.0,0.6,0.2,0.0,0.4,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,55.72000000000002,0.5699548094792114,0.022929999999999992,0.005065739548349992
87,1000.0,0.6,0.2,0.0,0.4,0.0,0.9999800000000008,0.0001407052941362898,0.9999800000000008,0.0001407052941362898,55.479999999999976,0.5218459852516188,0.021840000000000005,0.005210168767502506
88,1000.0,0.6,0.2,0.0,0.4,0.0,0.9999800000000006,0.0001407052941362899,0.9999800000000006,0.0001407052941362899,55.219999999999956,0.46231739501923746,0.022179999999999988,0.004274377502081797
89,1000.0,0.6,0.2,0.0,0.4,0.0,0.9999500000000008,0.00021904291355759036,0.9999500000000008,0.00021904291355759036,54.98999999999992,0.2657180095628833,0.022779999999999988,0.004584955635752454
90,1000.0,0.6,0.2,0.0,0.4,0.0,0.9999900000000007,0.00010000000000000033,0.9999900000000007,0.00010000000000000033,54.91999999999992,0.3074824459143232,0.02295000000000001,0.005322669262767325
91,1000.0,0.6,0.2,0.0,0.4,0.0,0.9999700000000007,0.00017144660799776516,0.9999700000000007,0.00017144660799776516,54.799999999999905,0.44946657497549486,0.023179999999999996,0.004425317428550674
92,1000.0,0.6,0.2,0.0,0.4,0.0,0.9999500000000008,0.00021904291355759038,0.9999500000000008,0.00021904291355759038,54.62999999999993,0.48523658709390954,0.022059999999999986,0.004408027571454955
93,1000.0,0.6,0.2,0.0,0.4,0.0,0.9999400000000007,0.00023868325657594214,0.9999400000000007,0.00023868325657594214,54.37999999999992,0.48783173121456325,0.02290999999999999,0.0049484106212770666
94,1000.0,0.6,0.2,0.0,0.4,0.0,0.9999500000000007,0.0002611164839335468,0.9999500000000007,0.0002611164839335468,54.269999999999925,0.44619604333847357,0.023060000000000004,0.005289249626947247
95,1000.0,0.6,0.2,0.0,0.4,0.0,0.9999600000000008,0.00019694638556693272,0.9999600000000008,0.00019694638556693272,54.199999999999925,0.4020151261036853,0.022759999999999992,0.004095131378857219
96,1000.0,0.6,0.2,0.0,0.4,0.0,0.999910000000001,0.0003208259542638237,0.999910000000001,0.0003208259542638237,54.13999999999992,0.3487350880197769,0.023580000000000007,0.005407028721577092
97,1000.0,0.6,0.2,0.0,0.4,0.0,0.9999300000000009,0.0002564323999762431,0.9999300000000009,0.0002564323999762431,54.129999999999924,0.3379976689896309,0.023160000000000007,0.004578650500315614
98,1000.0,0.6,0.2,0.0,0.4,0.0,0.9999200000000009,0.0002726599243442912,0.9999200000000009,0.0002726599243442912,54.05999999999994,0.2777979790634142,0.022790000000000005,0.004680272374013021
